execution_number,model,question_number,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1
18,seq_llama_v4,5,0.06876790830945559,0.1951219512195122,0.10169491140054955,0.0659025787965616,0.18699186991869918,0.09745762326495633
18,seq_llama_v4,8,0.03669724770642202,0.27586206896551724,0.06477732586274162,0.027522935779816515,0.20689655172413793,0.04858299387893599
18,seq_llama_v4,9,0.21621621621621623,0.16666666666666666,0.18823528920138421,0.15315315315315314,0.11805555555555555,0.13333332841707052
18,seq_llama_v4,10,0.005319148936170213,0.07692307692307693,0.00995024754634801,0.005319148936170213,0.07692307692307693,0.00995024754634801
18,seq_llama_v4,11,0.22666666666666666,0.24113475177304963,0.23367697094979994,0.20666666666666667,0.2198581560283688,0.21305841424876903
18,seq_llama_v4,12,0.14285714285714285,0.14035087719298245,0.14159291535437404,0.13392857142857142,0.13157894736842105,0.13274335783225016
18,seq_llama_v4,14,0.1897810218978102,0.16666666666666666,0.17747439775140086,0.18248175182481752,0.16025641025641027,0.170648459184848
19,ind_gemma_v2,1,0.07563025210084033,0.2903225806451613,0.11999999672088897,0.04201680672268908,0.16129032258064516,0.06666666338755572
19,ind_gemma_v2,2,0.02631578947368421,0.022727272727272728,0.02439023892920982,0.02631578947368421,0.022727272727272728,0.02439023892920982
19,ind_gemma_v2,3,0.27631578947368424,0.35,0.30882352448096895,0.2631578947368421,0.3333333333333333,0.2941176421280277
19,ind_gemma_v2,5,0.33088235294117646,0.36585365853658536,0.3474903425029442,0.3088235294117647,0.34146341463414637,0.3243243193369211
19,ind_gemma_v2,8,0.06074766355140187,0.4482758620689655,0.1069958826716795,0.0514018691588785,0.3793103448275862,0.09053497732188527
19,ind_gemma_v2,9,0.34054054054054056,0.4375,0.3829787184819061,0.3081081081081081,0.3958333333333333,0.34650455434816757
19,ind_gemma_v2,10,0.02127659574468085,0.07692307692307693,0.03333332993888923,0.02127659574468085,0.07692307692307693,0.03333332993888923
19,ind_gemma_v2,11,0.22758620689655173,0.23404255319148937,0.23076922577020895,0.2206896551724138,0.22695035460992907,0.22377621877720194
19,ind_gemma_v2,12,0.1388888888888889,0.08771929824561403,0.10752687697537308,0.125,0.07894736842105263,0.0967741888033301
19,ind_gemma_v2,14,0.23770491803278687,0.1858974358974359,0.20863308859996907,0.22131147540983606,0.17307692307692307,0.19424459939133598
19,ind_gemma_v4,1,0.04672897196261682,0.16129032258064516,0.07246376463243033,0.037383177570093455,0.12903225806451613,0.05797101100924196
19,ind_gemma_v4,2,0.3246753246753247,0.5681818181818182,0.41322313586776865,0.3246753246753247,0.5681818181818182,0.41322313586776865
19,ind_gemma_v4,3,0.2878787878787879,0.31666666666666665,0.30158729659863953,0.25757575757575757,0.2833333333333333,0.2698412648526078
19,ind_gemma_v4,5,0.2603550295857988,0.35772357723577236,0.30136985813778394,0.25443786982248523,0.34959349593495936,0.29452054306929076
19,ind_gemma_v4,8,0.06,0.20689655172413793,0.09302325232858615,0.06,0.20689655172413793,0.09302325232858615
19,ind_gemma_v4,9,0.2893081761006289,0.3194444444444444,0.3036303580485574,0.2641509433962264,0.2916666666666667,0.27722771778453104
19,ind_gemma_v4,10,0.017543859649122806,0.07692307692307693,0.028571425546939096,0.017543859649122806,0.07692307692307693,0.028571425546939096
19,ind_gemma_v4,11,0.26153846153846155,0.24113475177304963,0.25092250423333023,0.24615384615384617,0.22695035460992907,0.23616235663185425
19,ind_gemma_v4,12,0.14492753623188406,0.17543859649122806,0.1587301537755104,0.13043478260869565,0.15789473684210525,0.14285713790249452
19,ind_gemma_v4,14,0.2784090909090909,0.3141025641025641,0.2951807179097112,0.2556818181818182,0.28846153846153844,0.2710843323675425
19,ind_llama_v2,1,0.036036036036036036,0.12903225806451613,0.056338024756001005,0.02702702702702703,0.0967741935483871,0.04225351771374755
19,ind_llama_v2,2,0.043478260869565216,0.1590909090909091,0.06829267955550285,0.043478260869565216,0.1590909090909091,0.06829267955550285
19,ind_llama_v2,3,0.3516483516483517,0.5333333333333333,0.4238410548133854,0.34065934065934067,0.5166666666666667,0.4105960217008026
19,ind_llama_v2,5,0.36875,0.4796747967479675,0.41696112582751693,0.3125,0.4065040650406504,0.35335688554483136
19,ind_llama_v2,8,0.05188679245283019,0.3793103448275862,0.09128630493689853,0.04245283018867924,0.3103448275862069,0.07468879456345454
19,ind_llama_v2,9,0.34574468085106386,0.4513888888888889,0.3915662601480622,0.30319148936170215,0.3958333333333333,0.3433734890637248
19,ind_llama_v2,10,0.014492753623188406,0.07692307692307693,0.024390241234384588,0.014492753623188406,0.07692307692307693,0.024390241234384588
19,ind_llama_v2,11,0.20149253731343283,0.19148936170212766,0.19636363136687618,0.1791044776119403,0.1702127659574468,0.17454544954869436
19,ind_llama_v2,12,0.13986013986013987,0.17543859649122806,0.15564201840996852,0.1258741258741259,0.15789473684210525,0.14007781607533817
19,ind_llama_v2,14,0.2345679012345679,0.12179487179487179,0.1603375482433372,0.20987654320987653,0.10897435897435898,0.14345991111253553
19,ind_llama_v4,1,0.038461538461538464,0.16129032258064516,0.06211179813278825,0.038461538461538464,0.16129032258064516,0.06211179813278825
19,ind_llama_v4,2,0.26865671641791045,0.4090909090909091,0.32432431953899854,0.26865671641791045,0.4090909090909091,0.32432431953899854
19,ind_llama_v4,3,0.3448275862068966,0.5,0.4081632604748022,0.3448275862068966,0.5,0.4081632604748022
19,ind_llama_v4,5,0.35365853658536583,0.4715447154471545,0.4041811797710304,0.34146341463414637,0.45528455284552843,0.39024389754106525
19,ind_llama_v4,8,0.05521472392638037,0.3103448275862069,0.09374999743543844,0.049079754601226995,0.27586206896551724,0.08333333076877178
19,ind_llama_v4,9,0.6794871794871795,0.7361111111111112,0.7066666616746669,0.6794871794871795,0.7361111111111112,0.7066666616746669
19,ind_llama_v4,10,0.006666666666666667,0.07692307692307693,0.01226993718243083,0.006666666666666667,0.07692307692307693,0.01226993718243083
19,ind_llama_v4,11,0.12355212355212356,0.22695035460992907,0.15999999543512514,0.12355212355212356,0.22695035460992907,0.15999999543512514
19,ind_llama_v4,12,0.1875,0.13157894736842105,0.1546391704113085,0.1375,0.09649122807017543,0.11340205700924667
19,ind_llama_v4,14,0.5259259259259259,0.4551282051282051,0.48797250361710426,0.5185185185185185,0.44871794871794873,0.4810996513834272
